site,author,game,score,score_adj,stars_mean,company,platform,genre,score_deviation
3D Juegos,Álvaro Castellano,Prospekt,5.0,2.5,3.33,None,PC,None,33.2
Gamereactor,Alysia Judge,Deadfall Adventures,5.0,2.5,3.0,THQ Publishing," PC, 360",Acción,20.0
meristation,MigSolo,Mythgard,7.0,3.5,3.62,Rhino Games,PC iPhone iPad Android,"Strategy, Turn Based                    ",3.4285714285714315
meristation,None,Remnants of Naezith,8.0,4.0,3.8,Tolga Ay,PC,"Acción, Plataformas                    ",-5.000000000000004
Vandal,Ramón Varela,Mortal Kombat,8.9,4.45,4.0,Warner Bros.,VitaITA PS3 360,Lucha 3D Lucha,-10.112359550561802
Vandal,Fernando Fontanet-Bel,Grand Theft Auto: Vice City,9.0,4.5,4.0,Rockstar,iPhone,Mundo abierto Tipo GTA,-11.111111111111109
Vandal,Pablo Grandío,Forza Motorsport 5,9.2,4.6,4.33,Microsoft,Xbox One,Carreras simulación Coches,-5.869565217391296
3D Juegos,Sergio Martín,Tactics Ogre: Let Us Cling Together,8.2,4.1,3.83,None, PSP PS1 Saturn,None,-6.585365853658527
Vandal,Carlos Leiva,The Witcher 2: Assassins of Kings Enhanced Edition,9.4,4.7,3.33,CD Projekt,360,Action-RPG Mundo abierto RPG Occidental,-29.14893617021277
Vandal,Luis Vázquez,Assassin's Creed The Ezio Collection,8.0,4.0,3.6,Ubisoft,PS4 Xbox One,Aventura de acción Mundo abierto Sigilo,-9.999999999999998
meristation,Will van Dijk,Monster Hunter Tri,9.0,4.5,3.55,Capcom,Wii,"RPG, Acción                    ",-21.111111111111114
3D Juegos,David Hernández,Away: Shuffle Dungeon,7.0,3.5,4.0,None,DS,None,14.285714285714285
meristation,Salva Fernàndez,El origen de los Guardianes: El video juego,4.0,2.0,3.4,D3 Publisher,PC PS3 Wii 360 Wii U Nintendo 3DS,Aventura                    ,70.0
Vandal,Ramón Nafria,The Bard's Tale IV,7.5,3.75,3.2,inXile Entertainment,PC Xbox One PS4,Action-RPG Roguelike,-14.66666666666666
meristation,Joaquín Relaño,Shinobido 2: Revenge of Zen,5.0,2.5,3.1,Bandai Namco,PSP Vita,"Acción, Stealth                    ",24.000000000000004
meristation,Fran García,Super Mario Maker,9.0,4.5,3.7,Nintendo,Wii U Nintendo 3DS,"Plataformas, Minigames                    ",-17.777777777777768
meristation,Saúl González,PES 2014: World Challenge,8.0,4.0,3.14,None,PS3 360,Deportes                    ,-21.5
meristation,Cristian Ciuraneta,Trigger Fist,7.0,3.5,3.4,None,iPhone iPad,"Acción, Shooting                    ",-2.85714285714286
meristation,Francisco Alberto Serrano,VA-11 Hall-A: Cyberpunk Bartender Action,8.0,4.0,3.83,Ysbryd Games,PC,Aventura                    ,-4.249999999999998
Gamereactor,Ignacio Reinosa,Star Ghost,7.0,3.5,3.5,None, Wii U,Acción,0.0
Vandal,Alberto González,Combo Crew,8.9,4.45,2.33,The Game Bakers,Android iPhone,Acción,-47.640449438202246
Gamereactor,Markus Hirsilä,Tiny Metal,6.0,3.0,2.6,Sony Music Entertainment, Nintendo Switch,Estrategia,-13.33333333333333
Vandal,Juan Rubio,Kill the Bad Guy,6.9,3.45,2.5,Exkee,PC Xbox One PS4 Switch,Otros Puzle,-27.536231884057976
Vandal,Carlos Leiva,Naruto Shippuden: Ultimate Ninja Storm Revolution,8.2,4.1,4.0,Bandai Namco,PS3 360 PC,Lucha 3D Lucha,-2.439024390243894
meristation,Salva Fernàndez,Titanfall: Frontier's Edge,7.0,3.5,4.0,None,PC 360 Xbox One,"Acción, First Person Shooter                    ",14.285714285714285
Gamereactor,Jonas Mäki,Tennis World Tour,5.0,2.5,2.75,Bigben Interactive, Xbox One,Deportes,10.0
meristation,Ramón Méndez,Shadows of the DAMNED,8.0,4.0,3.75,EA,PS3 360,"Acción, Aventura                    ",-6.25
Gamereactor,Lorenzo Mosna,Inazuma Eleven,9.0,4.5,4.0,Nintendo, DS,RPG,-11.111111111111109
meristation,Sergio C. González,Steep,7.5,3.75,3.0,Ubisoft,PC PS4 Xbox One,Deportes                    ,-20.0
Gamereactor,Henric Pettersson,Ashen,7.0,3.5,3.8,Annapurna Interactive," Xbox One, PC",RPG,8.571428571428566
meristation,Paula Croft ,The Council: The Mad Ones,8.0,4.0,3.89,Focus Home Interactive,PS4 PC PC PC Xbox One,Aventura                    ,-2.749999999999997
meristation,Roberto García,Sam & Max 303: They Stole Max's Brain!,8.0,4.0,3.6,Telltale Games,PC PS3,Aventura Gráfica                    ,-9.999999999999998
Gamereactor,Ignacio Reinosa,Ever Oasis,7.0,3.5,3.5,Nintendo, Nintendo Nintendo 3DS,RPG,0.0
meristation,Elena Avellaneda,Mi hotel para mascotas,5.5,2.75,3.25,DTP Young Entertainment,DS,"Strategy, Managerial                    ",18.181818181818183
Vandal,Ramón Nafria,Submerged,7.5,3.75,3.0,Uppercut Games,PS4 PC Xbox One iPhone Switch,Aventura de acción Beat'em up Mundo abierto,-20.0
Vandal,Carlos Leiva,Dragon Quest Builders,8.0,4.0,3.67,Square Enix,PS4 PS3 VitaITA Switch,Rol,-8.250000000000002
meristation,Cristian Ciuraneta,One Tap Hero,7.0,3.5,3.75,Chillingo,iPhone iPad,Plataformas                    ,7.142857142857142
Vandal,Alberto González,Spider-Man Unlimited,8.1,4.05,4.0,Gameloft,Android iPhone,Endless Runner Plataformas,-1.2345679012345634
Vandal,Carlos Piñeiro,Super Monkey Ball,5.0,2.5,3.67,SEGA,Nintendo Nintendo 3DS GameCube N-Gage iPhone,Plataformas 3D Plataformas,46.8
3D Juegos,Jesús Bella,BioShock: Challenge Rooms,8.1,4.05,3.6,None, PS3,None,-11.111111111111104
3D Juegos,Álvaro Castellano,Los Simpsons Arcade,6.0,3.0,3.33,None,PS3 360 iPhone,None,11.000000000000005
Vandal,Juan Rubio,Warframe,7.0,3.5,4.0,Digital Extremes,PC PS4 Xbox One Switch,Shooter en primera persona Shooter multijugador,14.285714285714285
Vandal,Ramón Nafria,Kingdom,8.0,4.0,3.0,Raw Fury,PC,Gestión - Tycoon,-25.0
meristation,Ramón Méndez,Juego de Tronos,4.8,2.4,2.4,None,360 PS3 PC,"Acción, Aventura, RPG                    ",0.0
meristation,Pedro Herrero,The Elder Scrolls V: Skyrim - Special Edition,8.0,4.0,3.75,Bethesda,PS4 Xbox One PC Switch,"Acción, RPG                    ",-6.25
Gamereactor,Mike Holmes,Always Sometimes Monsters,8.0,4.0,3.4,Devolver Digital, PC,RPG,-15.000000000000002
meristation,Fernando B.P.,Virtua Tennis 4,7.0,3.5,3.7,None,PC 360 PS3,Deportes                    ,5.71428571428572
3D Juegos,Álvaro Castellano,Skate 3,7.7,3.85,3.5,None,PS3 360,None,-9.090909090909092
3D Juegos,Sergio Martín,Danganronpa: Trigger Happy Havoc,8.0,4.0,3.71,None,PC Vita,None,-7.250000000000001
revogamers,Jota,Letter Quest Remastered,8.4,4.2,4.0,None,Nintendo Switch,None,-4.7619047619047645
Vandal,Luis Vázquez,Mark McMorris Infinite Air,6.5,3.25,3.0,Maximum Games,PS4 PC Xbox One,Deportes Snowboard,-7.6923076923076925
3D Juegos,Alejandro Pascual,Dark Devotion,7.0,3.5,3.4,None,PC PS4 Switch,None,-2.85714285714286
3D Juegos,Alberto Pastor,Dragon Quest Heroes: El infortunio del Árbol del Mundo y la Raíz del Mal,8.5,4.25,3.67,None,PC PS4,None,-13.647058823529413
3D Juegos,Alberto Pastor,Black The Fall,7.0,3.5,3.0,None,PC PS4 Xbox One Mac Linux,None,-14.285714285714285
Gamereactor,Kimmo Pukkila,Murdered: Soul Suspect,5.0,2.5,3.0,Square Enix," PC, PS3, 360, Xbox One",Aventura,20.0
3D Juegos,Sergio Martín,El Puño de la Estrella del Norte 2,6.6,3.3,3.6,None,PS3 360 Wii U,None,9.090909090909099
3D Juegos,Álvaro Castellano,Fight Night Round 4,8.6,4.3,3.5,None,PS3 360,None,-18.60465116279069
revogamers,Sergio Barragán, Cybarian: The Time Travelling Warrior,5.5,2.75,4.0,None,Nintendo Switch,Acción,45.45454545454545
meristation,Saúl González,World of Warships,8.5,4.25,3.75,None,PC,"Strategy, Massive Multiplayer Online, Real-Time                    ",-11.764705882352938
3D Juegos,Alberto Pastor,Broken Sword: The Serpent's Curse,8.0,4.0,3.8,None,PC PS4 Xbox One Switch Vita Mac Linux Android iPhone,None,-5.000000000000004
Vandal,Alberto González,Might & Magic: Duel of Champions,8.2,4.1,3.33,Ubisoft,iPhone PC,Cartas coleccionables (Card Battle) Estrategia,-18.78048780487804
Vandal,Carlos Leiva,Lapis x Labyrinth,7.0,3.5,3.6,NIS America,PS4 Switch,Action-RPG JRPG,2.85714285714286
3D Juegos,Alejandro Pascual,Darksiders Genesis,8.0,4.0,3.33,None,PC PS4 Xbox One Switch Stadia,None,-16.75
meristation,Ramón Méndez,El Universo en Guerra: Asalto a la Tierra,8.0,4.0,3.86,SEGA,PC 360,"Strategy, Real-Time                    ",-3.500000000000003
Gamereactor,Graham Bellars,Lego Dimensions Año 2,7.0,3.5,3.5,Warner Bros.," PS3, PS4, Wii U, 360, Xbox One",Acción,0.0
3D Juegos,Jesús Bella,Zubo,8.0,4.0,3.8,None,DS,None,-5.000000000000004
Vandal,Enrique García,Impact Winter,7.0,3.5,3.83,Bandai Namco,PC Xbox One PS4,Gestión - Tycoon Supervivencia,9.428571428571429
revogamers,Carlos Firás, Ape Out,7.0,3.5,4.0,None,Nintendo Switch,None,14.285714285714285
revogamers,Carlos Firás, SolSeraph,7.0,3.5,4.0,None,Nintendo Switch,None,14.285714285714285
revogamers,Arturo Albero, Attack of the Tank Toys,5.0,2.5,3.5,None,Nintendo Switch,None,40.0
Gamereactor,Mike Holmes,SpeedRunners,8.0,4.0,3.8,Tiny Build," PC, Xbox One",Plataformas,-5.000000000000004
revogamers,Carlos Firás, The Sinking City,7.0,3.5,4.0,None,Nintendo Switch,None,14.285714285714285
meristation,Ramón Méndez,Saucer-Like,8.0,4.0,4.0,Tizona Interactive,PC,Aventura Gráfica                    ,0.0
3D Juegos,Jesús Bella,Your Shape: Fitness Evolved,7.9,3.95,3.75,None,360 iPhone,None,-5.06329113924051
Vandal,Sara Borondo,Mutazione,8.3,4.15,3.6,Akupara Games,PC PS4 iPhone,Aventura narrativa Novela visual,-13.253012048192778
meristation,Cesar Otero ,Wonderbook: Caminando entre Dinosaurios,8.0,4.0,3.88,None,PS3,"Aventura, Educación                    ",-3.0000000000000027
meristation,Will van Dijk,Brave: A Warriors Tale,7.0,3.5,2.88,None,Wii,"Acción, Aventura                    ",-17.71428571428572
meristation,Salva Fernàndez,Metal Gear Solid: The Legacy Collection,9.5,4.75,3.86,None,PS3,"Acción, Aventura, Tactical                    ",-18.736842105263158
3D Juegos,Sergio Martín,Super Street Fighter IV: Arcade Edition,8.1,4.05,3.75,None,PC PS3 360,None,-7.407407407407402
Vandal,Ramón Varela,Lumini,6.5,3.25,3.0,Rising Star Games,PC Xbox One Switch PS4,Simulación Simulador de vida,-7.6923076923076925
3D Juegos,Álvaro Castellano,ArmA 2,7.7,3.85,3.25,None,PC 360,None,-15.584415584415586
meristation,sermella,Forgotton Anne,8.0,4.0,3.71,Square Enix,PC PS4 Xbox One Switch,"Aventura, Plataformas                    ",-7.250000000000001
meristation,Francisco Alberto Serrano,Echochrome,7.0,3.5,3.86,None,PS3,Puzzle                    ,10.285714285714283
Vandal,Juan Rubio,Kairo,7.6,3.8,2.67,Lupus Studios,PC,Aventura Puzle Realidad Virtual,-29.73684210526316
meristation,David Arroyo,Firewall Zero Hour,7.0,3.5,2.88,Sony,PS4,"Acción, First Person Shooter                    ",-17.71428571428572
3D Juegos,Jesús Bella,Fancy Pants Adventures,7.8,3.9,4.0,None,PS3 360 iPhone,None,2.5641025641025665
revogamers,Pep H. Conca, Fear Effect Sedna,9.0,4.5,3.75,None,Nintendo Switch,None,-16.666666666666664
Gamereactor,Gillen McAllister,Another World,7.0,3.5,3.5,Bulkypix," iPhone, iPhone, Android, PC, Xbox One, PS3, PS4, PS Vita, Wii U, Nintendo Nintendo 3DS, Nintendo Switch",Aventura,0.0
Gamereactor,Mike Holmes,Part Time UFO,8.0,4.0,3.25,Inc.," Android, iPhone",Acción,-18.75
meristation,Salva Fernàndez,Flashback 25th Anniversary,8.0,4.0,4.0,Microids,Switch,"Acción, Plataformas                    ",0.0
Vandal,Macarena Mey,Tron: Evolution: Battle Grids,6.0,3.0,3.0,Disney,Wii,Aventura de acción,0.0
meristation,Juan Porteiro,FIFA 10,9.0,4.5,3.7,EA,PC PS3 360,Deportes                    ,-17.777777777777768
Vandal,Alberto González,Dino Dini's Kick-Off Revival,3.0,1.5,3.33,The Digital Lounge,PS4 PC,Deportes Fútbol,122.0
Gamereactor,Mike Holmes,Phoenix Point,7.0,3.5,3.33,None," PC, PS4, Xbox One",Estrategia,-4.857142857142856
3D Juegos,Sergio Martín,Batman Arkham Underworld,7.0,3.5,3.0,None,iPhone,None,-14.285714285714285
meristation,Saúl González,PES 2015,8.4,4.2,3.0,None,PC PS4 PS3 360 Xbox One,Deportes                    ,-28.571428571428577
revogamers,Arturo Albero,Dragon Quest VII: Fragmentos de un mundo olvidado,7.5,3.75,4.0,None,"eShop, Nintendo Nintendo 3DS, Wii U",None,6.666666666666668
revogamers,varju, Devious Dungeon 2,7.0,3.5,4.0,"Ratalaika Games, Woblyware Oy",Nintendo Switch,"Aventura, Plataformas",14.285714285714285
Vandal,Ramón Varela,Severed,8.0,4.0,2.33,DrinkBox Studios,VitaITA iPhone Wii U Nintendo Nintendo 3DS Switch,Aventura de acción,-41.75
Gamereactor,Magnus Groth-Andersen,Driveclub,7.0,3.5,2.86,Sony, PS4,Carreras,-18.285714285714292
meristation,Nacho Ortiz,Metal Gear Solid V: The Phantom Pain,8.5,4.25,3.6,None,360 PS3 Xbox One PS4 PC,"Acción, Aventura, Stealth                    ",-15.294117647058822
Vandal,Ramón Varela,Murasaki Baby PSN,7.9,3.95,3.0,Sony,VitaITA,PS Network Plataformas de puzles,-24.050632911392412
3D Juegos,Jesús Bella,WipEout 2048,8.0,4.0,3.83,None,Vita,None,-4.249999999999998
Vandal,Carlos Leiva,Might and Magic Heroes VI,8.5,4.25,3.33,Ubisoft,PC,Estrategia por turnos Estrategia,-21.64705882352941
Vandal,Daniel Escandell,Insanely Twisted Shadow Planet XBLA,8.0,4.0,3.5,Microsoft,360 PC,Acción Xbox Live Arcade,-12.5
meristation,RicardoFAndres,Alone in the Dark,8.0,4.0,3.6,Interplay,PC,"Acción, Aventura                    ",-9.999999999999998
Gamereactor,Philipp Rogmann,Tera,8.0,4.0,4.0,En Masse Entertainment," PC, PS4, Xbox One",MMORPG,0.0
Vandal,Daniel Escandell,Sherlock Holmes: El pendiente de plata,6.5,3.25,3.33,Focus Home Interactive,Wii,Aventura de exploración y puzles Aventura narrativa Detectives,2.4615384615384635
meristation,Sergi Blanch,Mass Effect Andromeda,8.5,4.25,3.54,None,PS4 PC Xbox One,"Acción, RPG                    ",-16.705882352941178
Gamereactor,Kim Orremark,Rage 2,6.0,3.0,3.0,Bethesda," PC, PS4, Xbox One",Acción,0.0
Gamereactor,David Caballero,The Elder Scrolls V: Skyrim,10.0,5.0,3.86,Bethesda," PC, PS3, 360, PS4, Xbox One, Nintendo Switch",RPG,-22.800000000000004
meristation,Cristian Ciuraneta,Yakuza 3,8.0,4.0,3.27,SEGA,PS3,"Acción, Aventura                    ",-18.25
Vandal,Sara Borondo,LEGO Jurassic World,6.5,3.25,3.67,Warner Bros.,PS4 Nintendo Nintendo 3DS PS3 Xbox One 360 VitaITA PC Wii U iPhone Android Switch,Aventura de acción,12.92307692307692
Gamereactor,Sam Bishop,Agony,4.0,2.0,2.25,Deep Silver," PC, PS4, Xbox One",Terror,12.5
meristation,faserranoacosta,Wolcen: Lords of Mayhem,6.0,3.0,3.25,Wolcen Studio,PC,"Acción, RPG                    ",8.333333333333332
Gamereactor,Graham Bellars,Final Fantasy XII: The Zodiac Age,9.0,4.5,3.71,Square Enix," PS4, PC, Nintendo Switch, Xbox One",RPG,-17.555555555555557
Vandal,Alfonso Arribas,NBA 2K21,8.5,4.25,3.88,Take-Two Interactive,PS4 PC Xbox One Switch Xbox Series X PS5,Baloncesto Deportes,-8.70588235294118
Gamereactor,Roy Woodhouse,Megaquarium,8.0,4.0,4.0,None,None,None,0.0
Vandal,Daniel Escandell,ThruSpace: Puzle 3D a alta velocidad WiiW,7.5,3.75,4.0,Nintendo,Wii,Puzle,6.666666666666668
Gamereactor,Julián Plaza,Lost Planet 3,7.0,3.5,2.75,Capcom," PC, PS3, 360",Acción,-21.428571428571427
3D Juegos,Sergio Martín,Nihilumbra,7.0,3.5,3.5,None,PC Switch Wii U Vita Mac Android iPhone,None,0.0
meristation,Will van Dijk,Tearaway,9.2,4.6,3.91,SCEI,Vita,"Acción, Plataformas                    ",-14.999999999999993
3D Juegos,Alejandro Pascual,Please Knock on My Door,8.5,4.25,3.67,None,PC,None,-13.647058823529413
3D Juegos,Jesús Bella,Paper Mario: Sticker Star,8.6,4.3,4.0,None,Nintendo 3DS,None,-6.976744186046507
Vandal,Ramón Nafria,The Way,6.7,3.35,4.0,PlayWay,PC Xbox One Switch,Plataformas de puzles,19.402985074626862
meristation,Cesar Otero,Call of Cthulhu,6.5,3.25,2.25,Focus Home Interactive,PC PS4 Xbox One Switch,Aventura                    ,-30.76923076923077
meristation,Joaquín Relaño,Final Fight: Double Impact,7.0,3.5,3.39,Capcom,360 PS3,"Acción, Arcade                    ",-3.14285714285714
Vandal,Jorge Cano,LEGO El Señor de los Anillos,8.5,4.25,4.67,Warner Bros.,PS3 360 Wii DS Nintendo Nintendo 3DS PC VitaITA iPhone,Aventura de acción,9.882352941176471
3D Juegos,Joan Abad Extremera,The King of Fighters XII,6.8,3.4,3.4,None,PS3 360,None,0.0
Vandal,Carlos Leiva,Injustice: Gods Among Us,8.5,4.25,3.5,Warner Bros.,PS3 iPhone 360 Wii U Android,Lucha 2D Lucha,-17.647058823529417
Vandal,Ramón Varela,Metrocide,6.5,3.25,2.67,Flat Earth Games,PC,Shooter en tercera persona,-17.846153846153847
3D Juegos,Álvaro Castellano,Bastion,8.9,4.45,4.0,None,PC PS4 Xbox One Switch 360 Vita Mac iPhone,None,-10.112359550561802
revogamers,Pablo Seara García, Animal Crossing: Pocket Camp,7.0,3.5,3.5,None,Android,None,0.0
3D Juegos,Israel Navas Malpartida,Dead Island: Definitive Collection,7.5,3.75,3.83,None, PC PS4 Xbox One,None,2.1333333333333355
Vandal,Fernando Fontanet-Bel,Master Reboot,5.5,2.75,3.67,Wales Interactive,PC PS3 Wii U,Aventura narrativa Terror,33.45454545454545
meristation,Cristian Ciuraneta,Guardianes de la Galaxia: Arma Universal,7.0,3.5,3.4,None,iPad iPhone Android,"Acción, Strategy, Real-Time                    ",-2.85714285714286
meristation,None,LittleBigPlanet Karting,7.6,3.8,3.93,None,PS3,Conducción                    ,3.4210526315789567
3D Juegos,Jesús Bella,Ridge Racer 3D,7.2,3.6,3.8,None,Nintendo 3DS,None,5.555555555555547
meristation,Will van Dijk,FIFA 10,7.5,3.75,3.5,EA,Wii,Deportes                    ,-6.666666666666668
Vandal,Ramón Varela,Has-Been Heroes,6.0,3.0,2.6,Gametrust,Switch PC Xbox One PS4,Estrategia en tiempo real Estrategia por turnos Roguelike,-13.33333333333333
Vandal,Ramón Varela,Metal Gear Solid HD Collection,9.0,4.5,3.33,Konami,VitaITA 360 PS3,Aventura de acción Sigilo,-26.0
meristation,Saúl González,TOME: Immortal Arena,7.2,3.6,2.71,None,PC,"Acción, Beat'em up                    ",-24.72222222222223
meristation,Azucena Ruíz,Rune Factory 4 Special,7.5,3.75,3.8,XSEED Games,Switch,"RPG, Simulación                    ",1.3333333333333286
Vandal,Ramón Varela,Fe,8.0,4.0,3.4,Ver todos,PC Switch PS4 Xbox One,Aventura de acción,-15.000000000000002
meristation,Juan Porteiro,UEFA Euro 2008,5.0,2.5,4.0,EA,PC PS3 360,Deportes                    ,60.0
meristation,franchuzas,The Surge 2,8.5,4.25,3.6,Focus Home Interactive,PC Xbox One PS4,"Acción, RPG                    ",-15.294117647058822
meristation,RicardoFAndres,California Games,8.0,4.0,3.5,SEGA,MS,"Deportes, Arcade                    ",-12.5
Vandal,Juan Rubio,Do Not Feed the Monkeys,8.2,4.1,3.5,Alawar Premium,Switch PC PS4,Simulación Simulador de humor,-14.634146341463408
Vandal,Sergio Martín,Neon Abyss,8.2,4.1,3.8,Veewo Games,Switch PC PS4 Xbox One,Plataformas 3D Roguelike,-7.317073170731704
meristation,Salva Fernàndez,Destiny: El Rey de los Poseídos,9.0,4.5,3.71,None,PS3 PS4 360 Xbox One,"Acción, First Person Shooter                    ",-17.555555555555557
meristation,Cristian Ciuraneta,Final Fantasy V,7.0,3.5,4.0,None,Android iPhone iPad,"RPG, Turn Based                    ",14.285714285714285
Vandal,Carlos Leiva,The Secret World,8.8,4.4,4.0,EA,PC,MMORPG,-9.090909090909099
meristation,Will van Dijk,Sin & Punishment 2: Succesor to the Sky,9.0,4.5,3.59,Nintendo,Wii,Acción                    ,-20.222222222222225
3D Juegos,Sergio Martín,One Piece: Pirate Warriors,7.8,3.9,3.83,None,PS3,None,-1.794871794871791
Vandal,Pablo Grandío,ICO & Shadow Of The Colossus Classics HD,9.5,4.75,4.0,Sony,PS3,Aventura de acción,-15.789473684210524
Gamereactor,Bengt Lemne,The Evil Within,7.0,3.5,3.25,Bethesda," PC, PS3, PS4, 360, Xbox One",Acción,-7.142857142857142
revogamers,Pep H. Conca, Giana Sisters: Twisted Dreams - Owltimate Edition,6.0,3.0,3.67,None,Nintendo Switch,None,22.33333333333333
Vandal,Alfonso Arribas,Megaton Rainfall,7.0,3.5,3.0,Pentadimensional Games,PS4 PC Switch Xbox One,Mundo abierto Realidad Virtual Shooter en primera persona,-14.285714285714285
Vandal,Carlos Leiva,Chibi-Robo! Zip Lash,5.5,2.75,3.67,Nintendo,Nintendo Nintendo 3DS,Plataformas 2D Plataformas,33.45454545454545
Gamereactor,Mike Holmes,Total War Saga: Thrones of Britannia,8.0,4.0,3.88,SEGA, PC,Estrategia,-3.0000000000000027
Vandal,Alberto González,Love You To Bits,8.0,4.0,3.5,Alike Studio,iPhone,Puzle,-12.5
meristation,Dedede,Spelunker Party!,7.0,3.5,4.0,Square Enix,PC Switch PC,"Acción, Plataformas                    ",14.285714285714285
Vandal,Pablo Grandío,Halo 4,9.4,4.7,4.33,Microsoft,360,Shooter en primera persona,-7.872340425531918
Gamereactor,Mike Holmes,Killing Floor 2,8.0,4.0,3.6,Deep Silver," PC, PS4, Xbox One",Acción,-9.999999999999998
meristation,Cristian Ciuraneta,The Walking Dead: Michonne - Episode 1: In Too Deep,6.8,3.4,3.0,None,PS3 iPad PC Mac 360 PS4 Xbox One iPhone Android,"Aventura Gráfica, Survival Horror                    ",-11.764705882352938
revogamers,Pep H. Conca, de Blob 2,7.0,3.5,3.67,None,Nintendo Switch,None,4.857142857142856
Gamereactor,Juan A. Fonseca,Far Cry 5,9.0,4.5,3.88,Ubisoft," PC, PS4, Xbox One",Acción,-13.777777777777779
Vandal,Saúl González,Gigantic,7.0,3.5,3.0,Motiga,Xbox One PC,MOBA,-14.285714285714285
Gamereactor,Sam Bishop,Eliza,9.0,4.5,4.0,Zachtronics, PC,Aventura,-11.111111111111109
meristation,Enrique García,TV Show King,7.5,3.75,4.0,Gameloft,Wii,"Acción, Minigames                    ",6.666666666666668
meristation,Javier de Pascual,MotorStorm: Pacific Rift,8.0,4.0,3.55,Sony,PS3,"Conducción, Arcade                    ",-11.250000000000005
Vandal,Juan Rubio,Call of Duty Black Ops: Declassified,4.9,2.45,3.33,Activision,VitaITA,Shooter en primera persona,35.91836734693877
Vandal,Alberto González,Robot Unicorn Attack 2,8.9,4.45,4.0,Cartoon Network,iPhone,Plataformas 2D Plataformas,-10.112359550561802
Gamereactor,Jon Calvin,Ruiner,8.0,4.0,3.75,Devolver Digital," Linux, Mac, PC, PS4, Xbox One",Acción,-6.25
3D Juegos,Alberto Pastor,PayDay 2,8.0,4.0,4.25,None,PC PS4 Xbox One Switch PS3 360,None,6.25
Gamereactor,Ricardo C. Esteves,Batman: The Enemy Within - Temporada Completa,8.0,4.0,3.25,Telltale Games," PC, PS4, Xbox One, iPhone, Android",Aventura,-18.75
meristation,None,Loadout,7.7,3.85,3.1,Edge of Reality,PS4 PC,"Acción, Shooting                    ",-19.480519480519487
Vandal,Daniel Escandell,Harry Potter y las Reliquias de la Muerte Parte 1,4.5,2.25,1.0,Warner Bros.,PS3 PC 360 Wii DS,Shooter en tercera persona,-55.555555555555564
meristation,Cristian Ciuraneta,Joe Danger Touch!,8.3,4.15,3.8,None,iPhone iPad,"Conducción, Arcade                    ",-8.433734939759049
meristation,César Otero,Uncharted: Lucha por el Tesoro,7.2,3.6,3.7,None,Vita,"Strategy, Turn Based                    ",2.77777777777778
Vandal,Daniel Escandell,Frenzic DSiW,6.5,3.25,3.0,Two Tribes,DS,Puzle,-7.6923076923076925
Gamereactor,Thomas Blichfeldt,Homefront,8.0,4.0,3.6,THQ," PC, PS3, 360",Acción,-9.999999999999998
meristation,Salva Fernàndez,Dragon Quest VI: Los Reinos Oníricos,8.0,4.0,3.7,Square Enix,DS,"RPG, Acción                    ",-7.4999999999999964
3D Juegos,Álvaro Castellano,PES 2017,7.5,3.75,3.14,None,PC PS4 Xbox One PS3 360 Android iPhone,None,-16.266666666666662
revogamers,Manuel Luis Mena,Ninja Shodown,6.5,3.25,3.0,None,eShop,None,-7.6923076923076925
Vandal,Ramón Varela,11-11: Memories Retold,8.0,4.0,3.2,Bandai Namco,PS4 PC Xbox One,Aventura narrativa,-20.0
meristation,Javi Andrés,Ratchet & Clank HD Trilogy,7.7,3.85,4.0,Sony,PS3 Vita,"Acción, Aventura                    ",3.8961038961038934
Gamereactor,Thomas Blichfeldt (Gamereactor Dinamarca),Sonic Colours,7.0,3.5,3.0,SEGA, Wii,Plataformas,-14.285714285714285
3D Juegos,Alberto Pastor,Black Desert Online,7.0,3.5,2.86,None,PC PS4 Xbox One Android iPhone,None,-18.285714285714292
meristation,Salva Fernàndez,Ultra Street Fighter II: The Final Challengers,7.0,3.5,3.29,None,Switch,Acción                    ,-5.999999999999999
meristation,Roberto García,Lost Horizon,8.0,4.0,3.71,Deep Silver,PC,Aventura Gráfica                    ,-7.250000000000001
3D Juegos,Sergio Martín,Flockers,6.5,3.25,4.0,None,PC PS4 Xbox One Android iPhone,None,23.07692307692308
Vandal,Ramón Varela,Hyperdimension Neptunia Re; Birth 1 PSN,7.0,3.5,3.67,KoeTec,VitaITA,JRPG PS Network,4.857142857142856
Gamereactor,Mike Holmes,Halo 3 para PC,9.0,4.5,4.0,Microsoft, PC,Acción,-11.111111111111109
3D Juegos,Jesús Bella,Flip Wars,6.0,3.0,3.0,None,Switch,None,0.0
meristation,Javi Andrés,The Crew,7.0,3.5,3.38,None,PS4 PC Xbox One 360,Conducción                    ,-3.4285714285714315
Vandal,Carlos Leiva,Dragon Ball Xenoverse 2,7.8,3.9,3.75,Bandai Namco,PS4 PC Xbox One Switch,Lucha 3D Lucha,-3.846153846153845
3D Juegos,Alberto Pastor,The Whispered World,8.4,4.2,4.0,None,PC,None,-4.7619047619047645
Vandal,Carlos Leiva,Hyrule Warriors: Definitive Edition,8.0,4.0,4.14,Nintendo,Switch,Acción Musou,3.4999999999999916
meristation,Cesar Otero,Terminator Resistance,5.5,2.75,3.38,Reef Entertainment,PC PS4 Xbox One,"Acción, First Person Shooter                    ",22.909090909090907
